region,Jahr-Woche,Bevölkerung 1. Januar,Geburten,Todesfälle,Überschuss,Wanderungssaldo international 1,Wanderungssaldo interkantonal,Bevölkerung 31. Dezember,total,% over Year,Canton Size (km²),Alter 0–19,Alter 20–64,Alter 65 und mehr,Mann,Frau,Schweizer,Ausländer ,Ledig,Verheiratet,Verwitwet,Geschieden,Unverheiratet,In eingetragener Partnerschaft,Aufgelöste Partnerschaft,Städtischer Kernraum,Einflussgebiet Stadt,Ausserhalb des Einflusses städtischer Kerne,BIP in Millionen CHF,BIP Growth Laufende Preise,BIP Growth Preise Vorjahr,BIP pro Kopf,Woche,Bevölkerung,% over week,Pop Density
CH,2013-W01,8039060,1591.0,1249.0,342.0,1675.0,0.0,8139631,1934.0,1.2510293492,41285,1633081.0,4990935.0,1415044.0,3972395.0,4066665.0,6125552.0,1913508.0,3494124.0,3484339.0,402630.0,644545.0,521.0,12024.0,877.0,5043379.0,1745310.0,1250371.0,654611.66897,1.70375,1.79214,80422.76965258007,1,8039060.0,,194.72108513988132
CH,2013-W02,8039060,1591.0,1249.0,342.0,1675.0,0.0,8139631,1934.0,1.2510293492,41285,1633481.0,4992159.0,1415391.0,3973370.0,4067662.0,6127054.0,1913978.0,3494982.0,3485194.0,402729.0,644703.0,522.0,12027.0,877.0,5044616.0,1745738.0,1250678.0,654611.66897,1.70375,1.79214,80422.76965258007,2,8041031.980392157,0.024529987239274575,194.76885019721828
CH,2013-W03,8039060,1591.0,1249.0,342.0,1675.0,0.0,8139631,1934.0,1.2510293492,41285,1633882.0,4993383.0,1415739.0,3974344.0,4068660.0,6128557.0,1914447.0,3495839.0,3486048.0,402828.0,644861.0,522.0,12029.0,877.0,5045853.0,1746166.0,1250985.0,654611.66897,1.70375,1.79214,80422.76965258007,3,8043003.960784313,0.02452397151218033,194.81661525455524
CH,2013-W04,8039060,1591.0,1249.0,342.0,1675.0,0.0,8139631,1934.0,1.2510293492,41285,1634282.0,4994608.0,1416086.0,3975318.0,4069657.0,6130059.0,1914917.0,3496696.0,3486903.0,402926.0,645019.0,522.0,12032.0,878.0,5047090.0,1746594.0,1251292.0,654611.66897,1.70375,1.79214,80422.76965258007,4,8044975.94117647,0.02451795873497087,194.86438031189223
CH,2013-W05,8039060,1591.0,1249.0,342.0,1675.0,0.0,8139631,1934.0,1.2510293492,41285,1634683.0,4995832.0,1416433.0,3976293.0,4070655.0,6131562.0,1915386.0,3497553.0,3487758.0,403025.0,645177.0,522.0,12035.0,878.0,5048327.0,1747022.0,1251598.0,654611.66897,1.70375,1.79214,80422.76965258007,5,8046947.9215686275,0.024511948905447944,194.9121453692292
CH,2013-W06,8039060,1591.0,1249.0,342.0,1675.0,0.0,8139631,1934.0,1.2510293492,41285,1635084.0,4997056.0,1416780.0,3977267.0,4071653.0,6133065.0,1915855.0,3498410.0,3488612.0,403124.0,645335.0,522.0,12038.0,878.0,5049565.0,1747450.0,1251905.0,654611.66897,1.70375,1.79214,80422.76965258007,6,8048919.901960785,0.024505942021457727,194.95991042656618
CH,2013-W07,8039060,1591.0,1249.0,342.0,1675.0,0.0,8139631,1934.0,1.2510293492,41285,1635484.0,4998281.0,1417127.0,3978242.0,4072650.0,6134567.0,1916325.0,3499267.0,3489467.0,403223.0,645493.0,522.0,12041.0,878.0,5050802.0,1747878.0,1252212.0,654611.66897,1.70375,1.79214,80422.76965258007,7,8050891.882352941,0.02449993808082418,195.00767548390314
CH,2013-W08,8039060,1591.0,1249.0,342.0,1675.0,0.0,8139631,1934.0,1.2510293492,41285,1635885.0,4999505.0,1417474.0,3979216.0,4073648.0,6136070.0,1916794.0,3500124.0,3490322.0,403321.0,645651.0,522.0,12044.0,879.0,5052039.0,1748307.0,1252518.0,654611.66897,1.70375,1.79214,80422.76965258007,8,8052863.862745098,0.024493937081415673,195.0554405412401
CH,2013-W09,8039060,1591.0,1249.0,342.0,1675.0,0.0,8139631,1934.0,1.2510293492,41285,1636285.0,5000729.0,1417821.0,3980191.0,4074645.0,6137572.0,1917264.0,3500981.0,3491177.0,403420.0,645809.0,522.0,12047.0,879.0,5053276.0,1748735.0,1252825.0,654611.66897,1.70375,1.79214,80422.76965258007,9,8054835.843137255,0.02448793902105617,195.1032055985771
CH,2013-W10,8039060,1591.0,1249.0,342.0,1675.0,0.0,8139631,1934.0,1.2510293492,41285,1636686.0,5001953.0,1418168.0,3981165.0,4075643.0,6139075.0,1917733.0,3501838.0,3492031.0,403519.0,645968.0,523.0,12050.0,879.0,5054513.0,1749163.0,1253132.0,654611.66897,1.70375,1.79214,80422.76965258007,10,8056807.823529412,0.02448194389754743,195.15097065591405
