Day,Grippe: (Zurich),Grippe: (Canton of Zug),Grippe: (Switzerland)
2013-01-01,0.0,43.0,27.0
2013-01-02,0.0,0.0,40.0
2013-01-03,49.0,0.0,70.0
2013-01-04,35.0,0.0,42.0
2013-01-05,35.0,0.0,67.0
2013-01-06,46.0,0.0,47.0
2013-01-07,36.0,22.0,57.0
2013-01-08,0.0,0.0,35.0
2013-01-09,30.0,0.0,56.0
2013-01-10,42.0,0.0,74.0
2013-01-11,34.0,0.0,63.0
2013-01-12,11.0,0.0,45.0
2013-01-13,22.0,0.0,40.0
2013-01-14,61.0,0.0,45.0
2013-01-15,15.0,30.0,42.0
2013-01-16,24.0,0.0,57.0
2013-01-17,52.0,0.0,66.0
2013-01-18,24.0,0.0,49.0
2013-01-19,31.0,0.0,62.0
2013-01-20,40.0,73.0,60.0
2013-01-21,37.0,29.0,74.0
2013-01-22,26.0,0.0,64.0
2013-01-23,51.0,43.0,72.0
2013-01-24,37.0,0.0,49.0
2013-01-25,68.0,0.0,68.0
2013-01-26,0.0,0.0,57.0
2013-01-27,83.0,0.0,74.0
2013-01-28,55.0,0.0,84.0
2013-01-29,62.0,0.0,94.0
2013-01-30,60.0,0.0,83.0
2013-01-31,72.0,0.0,78.0
2013-02-01,35.0,0.0,67.0
2013-02-02,27.0,62.0,90.0
2013-02-03,64.0,46.0,90.0
2013-02-04,57.0,0.0,85.0
2013-02-05,67.0,29.0,89.0
2013-02-06,33.0,0.0,92.0
2013-02-07,72.0,33.0,94.0
2013-02-08,100.0,0.0,100.0
2013-02-09,64.0,0.0,68.0
2013-02-10,74.0,87.0,81.0
2013-02-11,44.0,0.0,53.0
2013-02-12,50.0,0.0,88.0
2013-02-13,45.0,0.0,97.0
2013-02-14,33.0,27.0,86.0
2013-02-15,55.0,62.0,88.0
2013-02-16,28.0,0.0,96.0
2013-02-17,13.0,0.0,84.0
2013-02-18,34.0,0.0,74.0
2013-02-19,51.0,0.0,84.0
2013-02-20,58.0,21.0,97.0
2013-02-21,45.0,0.0,79.0
2013-02-22,45.0,0.0,54.0
2013-02-23,41.0,100.0,60.0
2013-02-24,0.0,69.0,55.0
2013-02-25,47.0,0.0,80.0
2013-02-26,50.0,0.0,42.0
2013-02-27,43.0,0.0,72.0
2013-02-28,22.0,0.0,66.0
2013-03-01,24.0,0.0,44.0
2013-03-02,23.0,0.0,44.0
2013-03-03,13.0,0.0,51.0
2013-03-04,38.0,0.0,67.0
2013-03-05,27.0,51.0,47.0
2013-03-06,0.0,0.0,38.0
2013-03-07,56.0,0.0,39.0
2013-03-08,43.0,0.0,30.0
2013-03-09,35.0,0.0,52.0
2013-03-10,17.0,0.0,45.0
2013-03-11,36.0,0.0,48.0
2013-03-12,27.0,0.0,35.0
2013-03-13,41.0,0.0,41.0
2013-03-14,0.0,0.0,26.0
2013-03-15,23.0,0.0,34.0
2013-03-16,0.0,0.0,21.0
2013-03-17,0.0,0.0,26.0
2013-03-18,21.0,0.0,39.0
2013-03-19,0.0,29.0,30.0
2013-03-20,14.0,0.0,47.0
2013-03-21,0.0,0.0,21.0
2013-03-22,35.0,41.0,42.0
2013-03-23,15.0,0.0,25.0
2013-03-24,17.0,0.0,20.0
2013-03-25,35.0,0.0,62.0
