Day,Influenza: (Zurich),Influenza: (Canton of Zug),Influenza: (Switzerland)
2013-01-01,0.0,0.0,0.0
2013-01-02,0.0,0.0,0.0
2013-01-03,0.0,0.0,0.0
2013-01-04,49.0,0.0,51.0
2013-01-05,37.0,0.0,94.0
2013-01-06,35.0,0.0,68.0
2013-01-07,34.0,0.0,64.0
2013-01-08,0.0,0.0,0.0
2013-01-09,0.0,0.0,30.0
2013-01-10,18.0,0.0,46.0
2013-01-11,0.0,0.0,51.0
2013-01-12,68.0,0.0,29.0
2013-01-13,0.0,0.0,64.0
2013-01-14,0.0,0.0,59.0
2013-01-15,0.0,37.0,51.0
2013-01-16,35.0,0.0,65.0
2013-01-17,41.0,44.0,39.0
2013-01-18,0.0,0.0,0.0
2013-01-19,0.0,0.0,0.0
2013-01-20,0.0,0.0,0.0
2013-01-21,0.0,0.0,42.0
2013-01-22,0.0,0.0,49.0
2013-01-23,0.0,0.0,40.0
2013-01-24,21.0,0.0,57.0
2013-01-25,0.0,47.0,28.0
2013-01-26,36.0,0.0,29.0
2013-01-27,0.0,37.0,34.0
2013-01-28,0.0,0.0,87.0
2013-01-29,29.0,38.0,45.0
2013-01-30,26.0,0.0,100.0
2013-01-31,0.0,0.0,55.0
2013-02-01,0.0,17.0,37.0
2013-02-02,27.0,0.0,0.0
2013-02-03,0.0,0.0,0.0
2013-02-04,0.0,23.0,76.0
2013-02-05,46.0,0.0,39.0
2013-02-06,0.0,0.0,0.0
2013-02-07,51.0,0.0,52.0
2013-02-08,0.0,18.0,27.0
2013-02-09,0.0,0.0,80.0
2013-02-10,68.0,0.0,33.0
2013-02-11,0.0,17.0,22.0
2013-02-12,34.0,0.0,48.0
2013-02-13,0.0,18.0,33.0
2013-02-14,49.0,0.0,0.0
2013-02-15,0.0,0.0,22.0
2013-02-16,0.0,76.0,0.0
2013-02-17,0.0,0.0,69.0
2013-02-18,0.0,21.0,32.0
2013-02-19,0.0,0.0,81.0
2013-02-20,0.0,0.0,23.0
2013-02-21,65.0,0.0,34.0
2013-02-22,0.0,30.0,62.0
2013-02-23,0.0,0.0,42.0
2013-02-24,0.0,0.0,0.0
