 

stn;time;fu3010d1;tre200dn;tre200d0;rka150d0;ure200dn;ure200d0;sre000d0;fu3010d0;tre200dx;ure200dx
BAS;20230601;30.6;12.0;20.2;0.0;35.7;52.1;802;5.8;26.7;78.2
BAS;20230602;38.2;13.1;19.2;0.0;38.3;53.7;839;7.9;25.9;76.4
BAS;20230603;27.0;10.1;18.8;0.0;37.3;58.2;850;5.4;26.4;83.3
BAS;20230604;38.2;12.4;19.1;0.0;31.9;61.4;691;6.1;26.4;86.4
BAS;20230605;25.6;10.8;19.4;0.0;31.4;54.0;816;5.4;26.4;83.3
BAS;20230606;30.6;12.4;20.3;0.0;29.2;53.3;829;5.8;26.7;81.0
BAS;20230607;28.8;11.9;20.5;0.0;28.1;50.5;846;5.0;26.8;84.4
BAS;20230608;23.0;14.4;21.0;0.0;31.5;52.9;593;4.3;27.7;76.0
BAS;20230609;32.0;13.4;22.4;0.0;25.4;51.2;789;6.8;29.3;83.2
BAS;20230610;31.0;15.3;22.4;0.8;37.1;59.9;744;4.7;28.4;92.8
BAS;20230611;31.3;15.6;22.5;0.0;34.9;57.0;593;5.4;29.1;92.9
BAS;20230612;34.6;13.6;22.2;0.0;25.6;45.2;751;5.8;29.5;79.1
BAS;20230613;35.3;12.7;20.9;0.0;16.8;38.3;888;6.5;27.7;72.4
BAS;20230614;40.7;9.5;19.9;0.0;26.7;43.3;878;6.5;27.5;72.2
BAS;20230615;25.2;12.0;20.5;0.0;23.0;48.4;770;5.8;27.3;76.3
BAS;20230616;20.5;14.3;21.3;0.0;26.1;46.7;696;4.3;28.1;73.9
BAS;20230617;24.8;14.4;22.1;0.0;24.1;44.7;760;4.7;29.1;67.9
BAS;20230618;57.2;15.2;22.7;0.3;26.0;54.6;502;4.7;32.5;84.5
BAS;20230619;31.0;18.1;23.7;2.6;39.4;62.5;406;5.4;29.5;94.3
BAS;20230620;68.8;19.0;23.6;1.2;33.7;72.6;570;7.2;32.7;93.7
BAS;20230621;38.2;18.0;21.7;19.7;55.6;80.2;223;4.7;27.1;95.8
BAS;20230622;79.2;16.6;20.8;25.8;62.0;84.7;32;6.5;26.5;95.8
BAS;20230623;34.6;15.2;20.4;3.1;34.8;64.2;609;8.3;25.6;93.1
BAS;20230624;35.6;13.4;21.5;0.0;33.8;56.0;870;6.1;28.0;87.9
BAS;20230625;24.1;13.6;23.0;0.0;34.4;55.5;892;4.3;30.0;88.3
BAS;20230626;38.5;17.0;23.0;0.0;40.9;56.5;731;9.0;27.6;82.7
BAS;20230627;22.0;14.7;19.7;0.0;34.2;54.9;598;6.1;24.4;81.6
BAS;20230628;17.6;13.1;19.7;0.0;36.0;56.9;460;4.0;25.8;80.8
BAS;20230629;22.7;14.7;22.5;0.0;36.8;56.9;421;4.0;28.4;85.0
BAS;20230630;40.0;16.7;18.6;21.0;67.4;82.6;3;5.8;21.3;95.0
BAS;20230701;31.0;15.4;18.9;1.0;46.2;68.4;255;5.8;22.0;94.4
BAS;20230702;37.4;16.3;19.9;0.0;39.7;61.1;347;9.0;24.2;80.9
BAS;20230703;34.9;16.8;20.4;0.0;43.5;56.5;344;8.3;24.2;74.7
BAS;20230704;35.3;17.0;20.5;0.3;48.5;71.0;315;5.0;25.3;89.8
BAS;20230705;40.3;14.6;18.8;5.5;37.7;65.2;503;9.4;23.2;92.9
BAS;20230706;19.4;13.7;19.6;0.0;36.2;58.5;721;4.0;25.3;82.2
BAS;20230707;27.0;12.9;23.4;0.0;26.1;52.3;829;5.0;31.6;88.1
BAS;20230708;31.7;17.9;22.6;19.6;40.4;71.2;394;5.8;29.5;96.3
BAS;20230709;26.6;17.9;26.6;0.0;26.3;55.2;823;6.5;34.7;86.4
BAS;20230710;40.3;18.9;25.0;7.4;47.3;68.7;507;5.4;30.4;92.8
BAS;20230711;85.3;19.9;26.2;6.6;38.8;69.2;736;5.8;34.9;94.3
BAS;20230712;29.2;18.1;22.2;0.0;54.5;74.9;202;7.6;26.1;92.7
BAS;20230713;36.0;15.7;21.3;0.0;31.8;55.5;720;7.2;25.8;85.2
BAS;20230714;20.9;13.7;22.4;0.0;33.7;57.2;706;4.3;30.3;84.1
BAS;20230715;52.9;17.4;24.4;7.9;39.2;63.4;615;7.9;31.3;92.2
BAS;20230716;21.2;15.9;19.8;0.4;52.8;69.1;240;5.0;24.0;89.2
BAS;20230717;23.4;17.3;21.7;0.0;43.0;61.1;258;5.4;26.0;83.7
BAS;20230718;37.4;14.8;21.9;0.3;42.5;66.5;658;5.4;29.1;88.8
BAS;20230719;39.2;17.8;24.0;0.0;36.1;58.1;755;9.0;28.9;92.0
BAS;20230720;27.4;16.6;21.9;0.0;35.2;52.6;750;5.8;26.6;78.4
BAS;20230721;31.7;14.7;19.1;0.7;49.8;66.4;223;5.0;23.1;84.6
BAS;20230722;32.0;14.1;20.7;0.0;30.1;56.7;775;6.1;26.8;86.6
BAS;20230723;28.1;14.4;22.3;0.0;33.2;54.9;425;5.8;29.2;76.3
BAS;20230724;55.8;16.6;19.7;8.9;64.0;79.4;69;5.4;22.5;92.2
