Category: All categories

Week,grippe: (Switzerland)
2017-08-06,2
2017-08-13,4
2017-08-20,4
2017-08-27,3
2017-09-03,4
2017-09-10,5
2017-09-17,6
2017-09-24,8
2017-10-01,7
2017-10-08,6
2017-10-15,7
2017-10-22,6
2017-10-29,8
2017-11-05,11
2017-11-12,10
2017-11-19,10
2017-11-26,10
2017-12-03,9
2017-12-10,12
2017-12-17,15
2017-12-24,27
2017-12-31,26
2018-01-07,25
2018-01-14,20
2018-01-21,22
2018-01-28,22
2018-02-04,22
2018-02-11,19
2018-02-18,22
2018-02-25,18
2018-03-04,18
2018-03-11,16
2018-03-18,17
2018-03-25,12
2018-04-01,9
2018-04-08,8
2018-04-15,6
2018-04-22,4
2018-04-29,4
2018-05-06,4
2018-05-13,4
2018-05-20,4
2018-05-27,4
2018-06-03,4
2018-06-10,4
2018-06-17,4
2018-06-24,3
2018-07-01,3
2018-07-08,4
2018-07-15,4
2018-07-22,4
2018-07-29,4
2018-08-05,4
2018-08-12,5
2018-08-19,4
2018-08-26,5
2018-09-02,6
2018-09-09,6
2018-09-16,6
2018-09-23,6
2018-09-30,8
2018-10-07,6
2018-10-14,9
2018-10-21,7
2018-10-28,8
2018-11-04,10
2018-11-11,9
2018-11-18,10
2018-11-25,11
2018-12-02,10
2018-12-09,11
2018-12-16,11
2018-12-23,12
2018-12-30,12
2019-01-06,13
2019-01-13,16
2019-01-20,18
2019-01-27,22
2019-02-03,28
2019-02-10,26
2019-02-17,20
2019-02-24,17
2019-03-03,13
2019-03-10,13
2019-03-17,10
2019-03-24,9
2019-03-31,8
2019-04-07,7
2019-04-14,6
2019-04-21,5
2019-04-28,5
2019-05-05,4
2019-05-12,5
2019-05-19,3
2019-05-26,5
2019-06-02,4
2019-06-09,4
2019-06-16,4
2019-06-23,3
2019-06-30,4
2019-07-07,5
2019-07-14,4
2019-07-21,4
2019-07-28,3
2019-08-04,5
2019-08-11,4
2019-08-18,5
2019-08-25,5
2019-09-01,5
2019-09-08,7
2019-09-15,7
2019-09-22,7
2019-09-29,7
2019-10-06,8
2019-10-13,8
2019-10-20,8
2019-10-27,8
2019-11-03,12
2019-11-10,10
2019-11-17,9
2019-11-24,8
2019-12-01,9
2019-12-08,11
2019-12-15,10
2019-12-22,12
2019-12-29,14
2020-01-05,12
2020-01-12,17
2020-01-19,25
2020-01-26,44
2020-02-02,36
2020-02-09,29
2020-02-16,23
2020-02-23,94
2020-03-01,74
2020-03-08,91
2020-03-15,100
2020-03-22,63
2020-03-29,47
2020-04-05,30
2020-04-12,24
2020-04-19,21
2020-04-26,18
2020-05-03,16
2020-05-10,15
2020-05-17,9
2020-05-24,8
2020-05-31,6
2020-06-07,7
2020-06-14,7
2020-06-21,7
2020-06-28,10
2020-07-05,8
2020-07-12,8
2020-07-19,7
2020-07-26,8
2020-08-02,8
2020-08-09,9
2020-08-16,9
2020-08-23,10
2020-08-30,11
2020-09-06,11
2020-09-13,10
2020-09-20,11
2020-09-27,10
2020-10-04,14
2020-10-11,22
2020-10-18,28
2020-10-25,29
2020-11-01,22
2020-11-08,18
2020-11-15,16
2020-11-22,12
2020-11-29,11
2020-12-06,15
2020-12-13,15
2020-12-20,14
2020-12-27,15
2021-01-03,11
2021-01-10,14
2021-01-17,11
2021-01-24,10
2021-01-31,8
2021-02-07,12
2021-02-14,8
2021-02-21,8
2021-02-28,7
2021-03-07,7
2021-03-14,9
2021-03-21,6
2021-03-28,9
2021-04-04,7
2021-04-11,7
2021-04-18,7
2021-04-25,6
2021-05-02,6
2021-05-09,5
2021-05-16,6
2021-05-23,5
2021-05-30,5
2021-06-06,4
2021-06-13,3
2021-06-20,5
2021-06-27,3
2021-07-04,6
2021-07-11,6
2021-07-18,6
2021-07-25,5
2021-08-01,6
2021-08-08,7
2021-08-15,8
2021-08-22,7
2021-08-29,8
2021-09-05,9
2021-09-12,8
2021-09-19,9
2021-09-26,8
2021-10-03,10
2021-10-10,9
2021-10-17,11
2021-10-24,11
2021-10-31,13
2021-11-07,15
2021-11-14,15
2021-11-21,16
2021-11-28,18
2021-12-05,15
2021-12-12,14
2021-12-19,15
2021-12-26,18
2022-01-02,16
2022-01-09,12
2022-01-16,10
2022-01-23,10
2022-01-30,9
2022-02-06,8
2022-02-13,8
2022-02-20,7
2022-02-27,8
2022-03-06,11
2022-03-13,11
2022-03-20,12
2022-03-27,11
2022-04-03,9
2022-04-10,9
2022-04-17,6
2022-04-24,7
2022-05-01,5
2022-05-08,5
2022-05-15,5
2022-05-22,5
2022-05-29,6
2022-06-05,5
2022-06-12,5
2022-06-19,4
2022-06-26,5
2022-07-03,5
2022-07-10,6
2022-07-17,6
2022-07-24,6
2022-07-31,4
