Category: All categories

Month,Grippe: (Switzerland)
2004-01,14
2004-02,9
2004-03,5
2004-04,3
2004-05,4
2004-06,1
2004-07,3
2004-08,1
2004-09,0
2004-10,7
2004-11,8
2004-12,5
2005-01,11
2005-02,18
2005-03,7
2005-04,5
2005-05,3
2005-06,2
2005-07,2
2005-08,4
2005-09,6
2005-10,27
2005-11,13
2005-12,9
2006-01,12
2006-02,23
2006-03,23
2006-04,8
2006-05,4
2006-06,3
2006-07,3
2006-08,3
2006-09,5
2006-10,5
2006-11,7
2006-12,5
2007-01,10
2007-02,16
2007-03,6
2007-04,2
2007-05,4
2007-06,3
2007-07,3
2007-08,2
2007-09,4
2007-10,6
2007-11,7
2007-12,8
2008-01,15
2008-02,9
2008-03,6
2008-04,5
2008-05,2
2008-06,2
2008-07,2
2008-08,2
2008-09,4
2008-10,7
2008-11,7
2008-12,7
2009-01,20
2009-02,12
2009-03,6
2009-04,32
2009-05,20
2009-06,12
2009-07,31
2009-08,36
2009-09,24
2009-10,17
2009-11,67
2009-12,25
2010-01,8
2010-02,6
2010-03,5
2010-04,4
2010-05,3
2010-06,2
2010-07,2
2010-08,2
2010-09,4
2010-10,5
2010-11,5
2010-12,7
2011-01,14
2011-02,11
2011-03,7
2011-04,4
2011-05,3
2011-06,3
2011-07,2
2011-08,2
2011-09,4
2011-10,6
2011-11,7
2011-12,6
2012-01,8
2012-02,12
2012-03,10
2012-04,5
2012-05,4
2012-06,3
2012-07,3
2012-08,2
2012-09,6
2012-10,8
2012-11,8
2012-12,10
2013-01,20
2013-02,25
2013-03,12
2013-04,6
2013-05,5
2013-06,3
2013-07,3
2013-08,4
2013-09,5
2013-10,7
2013-11,7
2013-12,8
2014-01,9
2014-02,14
2014-03,10
2014-04,6
2014-05,4
2014-06,3
2014-07,4
2014-08,4
2014-09,6
2014-10,8
2014-11,9
2014-12,10
2015-01,18
2015-02,32
2015-03,16
2015-04,8
2015-05,4
2015-06,4
2015-07,4
2015-08,4
2015-09,7
2015-10,8
2015-11,9
2015-12,10
2016-01,15
2016-02,22
2016-03,18
2016-04,8
2016-05,5
2016-06,4
2016-07,4
2016-08,5
2016-09,7
2016-10,9
2016-11,12
2016-12,24
2017-01,29
2017-02,15
2017-03,8
2017-04,5
2017-05,4
2017-06,3
2017-07,4
2017-08,4
2017-09,7
2017-10,9
2017-11,13
2017-12,19
2018-01,28
2018-02,25
2018-03,20
2018-04,8
2018-05,5
2018-06,5
2018-07,4
2018-08,6
2018-09,7
2018-10,9
2018-11,12
2018-12,13
2019-01,20
2019-02,30
2019-03,14
2019-04,8
2019-05,5
2019-06,4
2019-07,5
2019-08,5
2019-09,8
2019-10,10
2019-11,12
2019-12,13
2020-01,28
2020-02,54
2020-03,100
2020-04,39
2020-05,15
2020-06,8
2020-07,10
2020-08,11
2020-09,13
2020-10,28
2020-11,21
2020-12,18
2021-01,15
2021-02,12
2021-03,9
2021-04,8
2021-05,7
2021-06,5
2021-07,7
2021-08,9
2021-09,10
2021-10,13
2021-11,19
2021-12,19
2022-01,15
2022-02,10
2022-03,14
2022-04,10
2022-05,6
2022-06,6
2022-07,7
2022-08,6
2022-09,8
2022-10,10
2022-11,13
2022-12,30
2023-01,18
2023-02,17
2023-03,15
2023-04,9
2023-05,6
2023-06,5
2023-07,5
2023-08,6
2023-09,8
2023-10,10
2023-11,17
